parameter,time,x1,x2
0.00000000,0.00000000,-0.01360653,0.63994429
0.00000000,0.10033400,0.07439995,0.66468296
0.00000000,0.20066900,0.13375873,0.63076905
0.00000000,0.30100300,0.20588234,0.63327668
0.00000000,0.40133800,0.26894439,0.58810104
0.00000000,0.50167200,0.30271790,0.57738733
0.00000000,0.60200700,0.36898416,0.50506971
0.00000000,0.70234100,0.43232973,0.49255030
0.00000000,0.80267600,0.46952072,0.46294934
0.00000000,0.90301000,0.51512280,0.41229585
0.00000000,1.00334400,0.53147718,0.35871262
0.00000000,1.10367900,0.57403582,0.28752316
0.00000000,1.20401300,0.60849429,0.24303342
0.00000000,1.30434800,0.63603115,0.17098163
0.00000000,1.40468200,0.63861870,0.10819936
0.00000000,1.50501700,0.64783428,0.04640851
0.00000000,1.60535100,0.64756002,-0.02833813
0.00000000,1.70568600,0.63503785,-0.11015013
0.00000000,1.80602000,0.63603023,-0.16955128
0.00000000,1.90635500,0.59847651,-0.21028763
0.00000000,2.00668900,0.57343559,-0.28888358
0.00000000,2.10702300,0.55841974,-0.34483189
0.00000000,2.20735800,0.50527679,-0.40187834
0.00000000,2.30769200,0.48705034,-0.45405231
0.00000000,2.40802700,0.43164102,-0.48984145
0.00000000,2.50836100,0.39098616,-0.52982569
0.00000000,2.60869600,0.33609787,-0.57149647
0.00000000,2.70903000,0.26449520,-0.60630955
0.00000000,2.80936500,0.19869694,-0.61013754
0.00000000,2.90969900,0.15146171,-0.63567726
0.00000000,3.01003300,0.08041700,-0.65770626
0.00000000,3.11036800,0.01821299,-0.65654395
0.00000000,3.21070200,-0.05330789,-0.66675785
0.00000000,3.31103700,-0.11935798,-0.63766682
0.00000000,3.41137100,-0.19097657,-0.63199265
0.00000000,3.51170600,-0.24913054,-0.57974011
0.00000000,3.61204000,-0.29623021,-0.57463997
0.00000000,3.71237500,-0.37077398,-0.54553735
0.00000000,3.81270900,-0.42856360,-0.51304459
0.00000000,3.91304300,-0.43941391,-0.45741610
0.00000000,4.01337800,-0.51159829,-0.42390178
0.00000000,4.11371200,-0.54781805,-0.35394141
0.00000000,4.21404700,-0.55798528,-0.30381713
0.00000000,4.31438100,-0.61855433,-0.24529956
0.00000000,4.41471600,-0.62932606,-0.16890755
0.00000000,4.51505000,-0.64628705,-0.10490705
0.00000000,4.61538500,-0.65708845,-0.04191793
0.00000000,4.71571900,-0.65955060,0.02682056
0.00000000,4.81605400,-0.64365992,0.06553955
0.00000000,4.91638800,-0.65853325,0.14989355
0.00000000,5.01672200,-0.62472361,0.20803493
0.00000000,5.11705700,-0.59800875,0.25500742
0.00000000,5.21739100,-0.57706225,0.33505024
0.00000000,5.31772600,-0.52611143,0.37973222
0.00000000,5.41806000,-0.48501436,0.44103611
0.00000000,5.51839500,-0.44185225,0.46510710
0.00000000,5.61872900,-0.37472308,0.52890933
0.00000000,5.71906400,-0.32552819,0.56490548
0.00000000,5.81939800,-0.27836326,0.58295113
0.00000000,5.91973200,-0.21867160,0.61761187
0.00000000,6.02006700,-0.14652363,0.61632187
0.00000000,6.12040100,-0.08481897,0.64521979
0.00000000,6.22073600,-0.01128203,0.63311746
0.00000000,6.32107000,0.04397206,0.65870914
0.00000000,6.42140500,0.10446582,0.64311179
0.00000000,6.52173900,0.18098382,0.62394433
0.00000000,6.62207400,0.23637947,0.60557617
0.00000000,6.72240800,0.28706737,0.58087638
0.00000000,6.82274200,0.35472393,0.57171995
0.00000000,6.92307700,0.43588114,0.50208373
0.00000000,7.02341100,0.43906026,0.46482439
0.00000000,7.12374600,0.49021413,0.42418960
0.00000000,7.22408000,0.53805949,0.36518374
0.00000000,7.32441500,0.57728420,0.31126368
0.00000000,7.42474900,0.59301453,0.24911978
0.00000000,7.52508400,0.61653434,0.16421634
0.00000000,7.62541800,0.65182141,0.12397130
0.00000000,7.72575300,0.64216710,0.05801847
0.00000000,7.82608700,0.64686821,-0.01630467
0.00000000,7.92642100,0.63877849,-0.06234388
0.00000000,8.02675600,0.64045100,-0.12229355
0.00000000,8.12709000,0.61516114,-0.18900213
0.00000000,8.22742500,0.61321706,-0.25516627
0.00000000,8.32775900,0.56723640,-0.31078897
0.00000000,8.42809400,0.54259154,-0.37404169
0.00000000,8.52842800,0.49765355,-0.42476127
0.00000000,8.62876300,0.44427810,-0.47692053
0.00000000,8.72909700,0.39224375,-0.50450035
0.00000000,8.82943100,0.33954520,-0.55351196
0.00000000,8.92976600,0.29102561,-0.59385378
0.00000000,9.03010000,0.22831017,-0.61718165
0.00000000,9.13043500,0.15993148,-0.62807416
0.00000000,9.23076900,0.10286702,-0.64696259
0.00000000,9.33110400,0.02202121,-0.65970848
0.00000000,9.43143800,-0.02997318,-0.65972328
0.00000000,9.53177300,-0.09491023,-0.64829858
0.00000000,9.63210700,-0.16762426,-0.63047789
0.00000000,9.73244100,-0.22773605,-0.61241494
0.00000000,9.83277600,-0.27874874,-0.57969411
0.00000000,9.93311000,-0.34626538,-0.55694749
0.00000000,10.03344500,-0.39271925,-0.52992161
0.00000000,10.13377900,-0.45113526,-0.46742978
0.00000000,10.23411400,-0.50522773,-0.42596567
0.00000000,10.33444800,-0.53603882,-0.37844772
0.00000000,10.43478300,-0.55943535,-0.31621273
0.00000000,10.53511700,-0.58945818,-0.24708093
0.00000000,10.63545200,-0.62305359,-0.20365673
0.00000000,10.73578600,-0.64340103,-0.10611042
0.00000000,10.83612000,-0.64989123,-0.06743095
0.00000000,10.93645500,-0.65326827,0.00259198
0.00000000,11.03678900,-0.63798995,0.05795390
0.00000000,11.13712400,-0.64616316,0.11304784
0.00000000,11.23745800,-0.62947042,0.19091253
0.00000000,11.33779300,-0.59710859,0.25897636
0.00000000,11.43812700,-0.58265296,0.31853775
0.00000000,11.53846200,-0.55063427,0.36669505
0.00000000,11.63879600,-0.50754677,0.44959902
0.00000000,11.73913000,-0.44656624,0.47178189
0.00000000,11.83946500,-0.39715948,0.49646754
0.00000000,11.93979900,-0.33609237,0.55288163
0.00000000,12.04013400,-0.28348208,0.57163911
0.00000000,12.14046800,-0.24169847,0.61566688
0.00000000,12.24080300,-0.15616214,0.62688824
0.00000000,12.34113700,-0.11082663,0.65174028
